id	text	score
448	because they reproduce faster	3
449	because they reproduce faster and for often	3
450	because they reproduce faster than elephants	3
451	because they reproduce faster than elephants.	3
452	Because they reproduce faster they would evolve faster. As it reproduces changes could happen and it would evolve.	3
453	Because they reproduce faster, they can will be able to adapt to there environment.	3
454	Because they reproduce faster.	3
455	because they reproduce faster. that means faster evolution.	3
456	Because they reproduce more often so it allows for more change in thew offspring.	3
457	because they reproduce more often which makes more fruit flies.	3
458	because they reproduce more they will change faster for their enviroment.	3
459	because they reproduce more with more chance of their babies getting the evolutionary advantage faster	3
460	Because they reproduce so many times per year, the fruit flies will have a better opportunity to evolve over time.	3
461	"Because they will have more opportunity to reproduce than the elephants. If a fruit fly ""wants"" to pass on a good trait, it will be able to more often."	3
462	Because they will produces faster and will have more of a ability to live.	3
463	Because to make so many in a lifetime the ahve to evlove quickly. I think this because firit fies can die esaily.	3
464	becuase more offsprings can change faster as a group and survive better.	3
465	becuse they do it 36 times a year and elephants only do it 5 times	3
466	becuz there r more variateion in reproduction in frut fly	3
467	cause repodution rate will help them	3
468	Cause the fruit flies will be able to pass down there genes faster and will change faster.	3
469	cause they have more offsprings that will get the trait	3
470	Each fruit fly would have some offspring which would have more offspring. Many changes through genes could have happened.	3
471	elephants because the elephants reproduce once every 5 years and they could be faster	3
472	Elephants don't make as many baby's that could change the species.	3
473	Elephants evolve faster because they have more time to change.	3
474	Elephants take longer to reproduce than flies, making the fruit flies evolve faster	3
475	Even though the elephant population is less than the fruit fly population, elephants live longer and adapt to changes.	3
476	Even though you don't evolve every time you reproduce if you reproduce faster you have a better chance to evolve before the other that is why i choose fruit flies.	3
477	Every 5 years the fruit fly has reproduced 180 time and the elephants has reproduce 1.	3
478	Every generation of animals would be a little more advanced than the previous generation. Because fruit flies reproduce so many times in one year, they have more chances to become more and more sophisticated. Elephants reproduce much slower, so evolution would happen slower.	3
479	Every generation, the organism changes slightly. So the faster the generations come, the faster the change comes. So that is why fruit flies would evolve faster since their species have 36 generations a year while elephants only have a generation every 5 years.	3
480	Evolution can only occur with thousands of generations, and the evolution depends on how fast a species' rate of reproduction is.In order to have many generations at a faster rate, then the species must reproduce at a faster rate.	3
481	Evolution doesn't take a specific number of years but a specific number of generations. If a species reproduces quicker that means it has more generations in a lower amount of time.	3
482	evolution goes faster when species reproduce faster because traits are selected faster	3
483	evolution happens during generations not years so the longer it takes for species to reproduce the longer it takes evolution to occur.	3
484	evolution happens faster when reproduction happens faster	3
485	Evolution happens over 1000 generations which can be in only a couple of years if reproduction is fast enough, so fruit flies would evolve faster than elephants.	3
486	Evolution happens over generations of life, the fruit fly reproduces quicker, so it evolves quicker	3
487	Evolution happens over generations, so the faster the generations, the faster the fruit flies would change.	3
488	evolution happens over many generations so the flies will reproduce faster and evolve faster	3
489	evolution happens over many years and since the fruit flies reproduce faster their species will evolve faster	3
490	evolution happens over thousands of generations. each generation for a fruit fly happens much more often than elephants.	3
491	Evolution happens over thousands of generations. So if a fruit fly can get in 36 generations in one year, it would only take less than 30 years for a change in the species. If elephants get a generation once every 5 years, it would take 5000 years for a change in the species. So the fruit flies would definitely evolve faster.	3
492	Evolution occurs by generation, and there are about 360 fruit fly generations in 10 years, and only about 2 in 10 years in elephant generations. The species with the faster reproduction rate will reproduce faster, therefore evolving faster.	3
493	Evolution occurs over about 1,000 generations. Because of the fruit flies faster reproduction rate they would get to that marker faster than the elephant.	3
494	Evolution occurs throughout about 1000 generations, so if there are more generations being produced evolution may occur at a faster rate.	3
495	Evolution takes about 1000 generations and if they reproduce that fast it would proverbially take less time	3
496	Evolution takes many generations. Fruit flies have more generations every few years than elephants, so they have more generations to evolve from.	3
497	Evolution takes place in a number of decades, and when you reproduce more, the generations go by faster.	3
498	Evolution takes place over many generations so since the fruit flies reproduce about 36 times a year they would evolve much faster than the elephant which reproduces about once every 5 years.	3
499	Evolutions occur over generations so when generations are shorter it takes less time to evolve.	3
500	Evoluton takes place over many generations. The faster the generations are, the faster the evolution is.	3
501	Faster birth rate means that there are more animals that can evolve.	3
502	faster reproduction	3
503	flies because they have a faster birth rate.	3
504	Flies because they have a shorter life so they can evolve quicker.	3
505	flies die in two days	3
506	Flies reproduce thousands of times faster than elephants, making it so that there are many more generations.	3
507	Fruit files reproduce faster that's why they evolve faster.	3
508	Fruit flies because evolution takes a thousand years so the fruit fly will have more opportunities to change.	3
509	Fruit flies because if they reproduce 36 times a year while the elephant only reproduces only once every 5 years, then the fruit flies will definetly grow faster.	3
510	Fruit flies because more times an animal reproduces the bigger the evolution.	3
511	Fruit flies because since they have more babies they have a better chance to evolve.	3
512	Fruit flies because since they reproduce faster they have a better chance to evolve.	3
513	Fruit flies because the flies reproduce 36 times a year and the elephants reproduce every 5 years so the fruit flies could reproduce faster and evolve faster.	3
514	fruit flies because the fruit flies can make generations faster because they reproduce faster.	3
515	Fruit flies because there would be more of them to chance over the short period of time when elephants aren't able to change as quickly.	3
516	Fruit flies because they can reproduce faster so the can evolve fastetr.	3
517	fruit flies because they could reprodose faster then an elephant	3
518	Fruit Flies because they evolve about 36 times a year unlike elephants.	3
519	Fruit flies because they have a shorter life span and have more offspring that an elephant does.	3
520	Fruit flies because they have more offspring so they have more chances to evolve.	3
521	Fruit flies because they produce flies faster so the chance of it becoming different every time is possible.	3
522	Fruit flies because they reproduce 36 times a year over 1 time every 5 years.	3
523	Fruit flies because they reproduce every year and plus it reproduces 36 times while the elephant produces one every five years	3
524	Fruit flies because they reproduce faster	3
525	Fruit flies because they reproduce faster and will gain and pass traits down faster.	3
526	fruit flies because they reproduce faster so they will evolve faster.	3
527	fruit flies because they reproduce faster than elephants	3
528	Fruit flies because they reproduce faster.	3
529	Fruit flies because they reproduce more which means more chance of variation. Animals can't evolve without variation.	3
530	Fruit flies because they reproduce very fast and there might be more of them.	3
531	Fruit flies because when the fruit flies lay their eggs, there is millions of them, So when they hatch there is so many fruit flies from just one mother/the one that produces the eggs.	3
532	Fruit flies breed much faster than Elephants there for there is more times where change can occur.	3
533	fruit flies can evolve faster because they can reproduce more offspring which can evolve	3
534	Fruit Flies can reproduce faster than elephant	3
535	Fruit flies continue to make more a lot faster than elephants there for making improvements on it's body faster.	3
536	Fruit flies could have more off spring in the same time as elephants.	3
537	Fruit Flies develop faster because they develop 36 times a year.	3
538	fruit flies die and reproduce much faster than elephants, so the have more generations to evolve.	3
539	fruit flies die faster so they know to reproduce more because they know they die fast	3
540	Fruit flies evolve 36 times a year and are much smaller so it would need to evolve more. The elephant only reproduces once every 5 years and is already really big.	3
541	Fruit flies evolve a lot faster because they reproduce a lot faster. They grow different features too.	3
542	Fruit flies evolve faster because they don't live to long.	3
543	Fruit flies evolve faster because they reproduce faster so there is more generations for them to evolve.	3
544	Fruit flies evolved faster because it reproduces 36 times a year while the elephant does it once in every 5 years.	3
545	Fruit flies have 180 generations in the time it takes an elephant to have a new generation, so more generations means that there is more evolution happening.	3
546	Fruit flies have a better chance of creating offspring with new traits.	3
547	Fruit flies have a better chance of evolving because they have more kids then the Elephant.	3
548	fruit flies have a better change of changing and the evolve faster because the reproduce more often giving each fly they reproduce a chance to change.	3
549	Fruit flies have a faster reproduction rate than elephants and it takes less time for fruit flies to reproduce, therefore fruit flies will evolve faster.	3
550	fruit flies have a short life span allowing generations to go faster.	3
551	Fruit flies have a shorter life span than elephants.	3
552	Fruit flies have alot of babies, but most of them don't survive for that long. With elephants they have less babies both mostly all of the time they survive	3
553	Fruit flies have had more generations to change.	3
554	Fruit flies have many generations in a shorter amount of time, this increases the amount that it can evolve in one year.	3
555	Fruit flies have more babies so they change more quickly.	3
556	Fruit flies have more generations in a shorter amount of time, so they would continue the process of evolution far faster.	3
557	Fruit flies have more offspring, so more of them will die allowing the population to grow much faster.	3
558	fruit flies have more offspring, therefor more generations to faster evolve	3
559	fruit flies have offspring more often meaning more chances to evolve.	3
560	Fruit flies have offspring more often, so good traits are passed on more often.	3
561	fruit flies have short life spans so for them to grow into adults before they die they have to mature very fast. Also female fruit flies can lat many eggs at once while female elephants can only give birth to one offspring.	3
562	Fruit Flies lay a lot more babies faster than elephants a fruit flie makes babies everyday a elephant does it in years.	3
563	Fruit flies lay eggs and they may lay many eggs and if they lay eggs 36 time a year plus there is probably a lot of fruit flies to lay eggs unlike elephants they are mammals which means they don't lay eggs so it means that each female elephant in the world have 1 baby elephant after the next 5 yrs they will be another.	3
564	Fruit flies life spand is much shorter than elephants so they go through genorations fater to and so traits will be passed on faster than the elephants.	3
565	Fruit flies may evolve faster because it reproduces lots of times in a year and the elephant just once, so the flies have a faster rank of evolution.	3
566	fruit flies might evolve faster because fruit flies reproduce faster than a elephant and chanages can occur in every baby.	3
567	Fruit flies might have evolved faster because they would have more generations, every year so their evolution rate would be faster. If they only reproduced every 5 years, the time they'd take to evolve would be around 200 years. But fruit flies would be around 1,000 divided by 36, which is about 118 years.	3
568	Fruit flies produce 36 times a year so an offspring could come along with a genetic difference.	3
569	Fruit flies produce generations more quickly than elephants, which means they will evolve faster if a needed.	3
570	Fruit flies produce more generations in a shorter period of time. This means that the species will change much quicker then the elephants, which produce generations slower.	3
571	Fruit flies produce more off-spring which probably reproduce faster and they will move to more environments more often because they are more capable of moving then the elephants so they would evolve once thy got to a different environments.	3
572	Fruit flies produce offspring more than elephants so they would evolve faster over the generations.	3
573	Fruit flies reproduce a lot faster than elephants.	3
574	Fruit Flies reproduce a lot making there more difference whicch helps them evolve faster.	3
575	Fruit flies reproduce about 36 times a year while elephants reproduce about once every 5 years therefor the fruit flies will evolve faster.	3
576	Fruit flies reproduce faster making evolution work faster.	3
577	Fruit flies reproduce faster so natural selection will occur faster and therefore will evolve faster.	3
578	Fruit flies reproduce faster then elephants because they have a faster traits than elephant.	3
579	Fruit flies reproduce faster which means it can evolve faster.	3
580	Fruit flies reproduce faster, die quicker, and are ultimately smaller than elephants.	3
581	Fruit flies reproduce faster, so the amount of time/generations it takes to evolve/adapt will be faster than the generations/time it takes for elephants to evolve.	3
582	Fruit flies reproduce more because they are small... and they can easily be born and... therefore leaving the point that they can reproduce.	3
583	FRUIT FLIES REPRODUCE MORE OFTEN THAN ELEPHANTS SO THEIR BABIES WILL HAVE MORE OF A CHANCE TO EVOLVE	3
584	Fruit Flies reproduce more than the elephant so the fruit flies will evolve faster.	3
585	fruit flies reproduce more than the elephant.	3
586	Fruit flies reproduce more that elephants do so fruit flies will evolve faster.	3
587	Fruit flies reproduce more, so they change faster.	3
588	Fruit flies reproduce much faster and has many generations. Over those generations, which could just be a couple of years, they could have evolved into something different.	3
589	fruit flies reproduce much more often and if a reproduction goes wrong the reproduction would keep going even with one change in a pattern	3
590	Fruit flies reproduce much more often than elephants so the chance one will be born differently is larger than the chance of an elephant being born differently.	3
591	fruit flies reproduce quickly, making the process of evolution faster. elephants don't reproduce as rapidly, meaning it would take longer for them to evolve.	3
592	Fruit flies reproduce so much more they would have more chances to change.	3
593	Fruit flies reproduce very often, while elephants don't. The fruit flies probably experience time more slowly than elephants. Their species probably changes every fifty or sixty years, unlike elephants who probably take a much longer time to evolve.	3
594	Fruit flies reproducer quicker because they reproduce 36 times while the elephant only reproduced once every year so the flies reproduce faster.	3
595	Fruit flies that reproduce faster so fruit flies would be able to pass on the characteristics that they had gained during their lifetime, but elephants can't reproduce as fast.	3
596	fruit flies they are smaller.	3
597	Fruit flies will be able to evolve faster, because they can go through many, many generations in the time it would take an elephant to go through just a few. And because evolution happens over about a thousand generations, fruit flies would take about 3 years to evolve, and elephants would take about about 5000 years to evolve.	3
598	Fruit flies will because the produce more and a faster rate.	3
599	fruit flies will because they have a lot more chances to evolve by having more of them.	3
600	"Fruit flies will change rapidly b/c the ones who don't survive die and cannot reproduce while the others can and then the get children really fast ( this ""refines"" some of the traits they have while ""excluding"" others)."	3
601	Fruit flies will evolve faster because evolution happens over thousands of generations, and because the reproduction rate for the fruit fly is much higher, it will also evolve much faster.	3
602	Fruit flies will evolve faster because if there is more of fruit flies then they have a better chance of evolving faster.	3
603	Fruit flies will evolve faster because more fruit flies are produced in a year than elephants are.	3
604	Fruit flies will evolve faster because more of them are being born more often than elephants.	3
605	Fruit flies will evolve faster because more of them are reproduced in a year than elephants.	3
606	Fruit flies will evolve faster because the faster they reproduce, evolution happens more quickly.	3
607	Fruit flies will evolve faster because the have progeny faster.	3
608	Fruit flies will evolve faster because the reproduce more often than elephants	3
609	Fruit flies will evolve faster because the reproduce more.	3
610	Fruit flies will evolve faster because their can develop their traits faster and become more suited to their environment faster.	3
611	Fruit flies will evolve faster because their rate of reproduction is faster. Evolution takes thousands of generations to occur, and a thousand generations for a fruit fly is a shorter period of time than a thousand generations for an elephant.	3
612	Fruit flies will evolve faster because there is more of them,so they is a greater chance of evolving.	3
613	Fruit flies will evolve faster because there will be more generations to evolve.	3
614	Fruit flies will evolve faster because there will be more of them.	3
615	fruit flies will evolve faster because theres more generations and reproduction which helps evolution	3
616	Fruit flies will evolve faster because they are a lot smaller than the elephant. The smaller the animal the faster it will reproduce. The faster it will reproduce the faster evolution occurs.	3
617	Fruit flies will evolve faster because they can reproduce faster than the elephants.	3
618	Fruit flies will evolve faster because they evolve 180 times for every one elephant. This gives more that can change faster.	3
619	Fruit flies will evolve faster because they have a shorter life span and they have offspring at a faster rate and more at one time.	3
620	Fruit flies will evolve faster because they have more generations to evolve.	3
621	Fruit flies will evolve faster because they have more of a chance to give birth to an evolved fruit fly.	3
622	Fruit flies will evolve faster because they have more offspring which could hold a new item or evolution.	3
623	Fruit flies will evolve faster because they produce a lot more organisms and not all of them will survive.	3
624	Fruit flies will evolve faster because they reproduce a lot more and they can use that to their advantage. If they have a trait one generation the next generation might have it a little better and so on.	3
625	Fruit flies will evolve faster because they reproduce a lot more often then elephants.	3
626	Fruit flies will evolve faster because they reproduce faster.	3
627	Fruit flies will evolve faster because they reproduce faster.	3
628	Fruit flies will evolve faster because they reproduce more than elephants and that means more offspring which means there is more of them to evolve.	3
629	Fruit flies will evolve faster because they reproduce more than elephants. elephants only reproduce every five years but fruit flies reproduce 36 times a year.	3
630	Fruit flies will evolve faster because they reproduce more.	3
631	fruit flies will evolve faster because they reproduce much faster and that means that the fruit flies and if there is difference in the flies the most dominant will survive	3
632	Fruit flies will evolve faster because they reproduce much more than an elephant.	3
633	Fruit flies will evolve faster because they reproduce quicklier, they need 1 thousand of generations t evolve, they would take a shorter period of time to reach thousands of generations. By the other hand, elephants will take much more time to evolve because they take more time reproducing and going from generation to generation.	3
634	fruit flies will evolve faster because they reproduce so often they will go through 1000 generations MUCH faster than elephants would.	3
635	Fruit Flies will evolve faster than elephants because fruit flies reproduce so much faster than them.	3
636	Fruit flies will evolve faster than the elephants because the fruit flies reproduce much faster than elephants. This means that the fruit flies will pass many generations quickly, causing evolution to occur faster. The elephant only reproduces only once every five years, so that means the elephant will evolve slower.	3
637	Fruit flies will evolve faster, because if evolution takes 1000 generations, fruit flies will get there in less time that the elephants. It will take them fewer years.	3
638	Fruit flies will evolve more because there are more generations to make traits better.	3
639	Fruit flies will probably evolve faster because they have more chances of evolving because tghey have more offspring that can have the trait.	3
640	Fruit Flies will probably evolve faster because they reproduce faster than the elaphants do which means that there are more being born a yeaar so the traits are changing over time faster.	3
641	Fruit flies will reproduce faster because elephants reproduce slowly. It takes about 1,000 generations for the species to evolve, so it will take fruit flies about 28 years to evolve, whereas it will take elephants 200 years to evolve.	3
642	Fruit flies would evolve faster because evolution happens over many generations so while a fruit flies has 36 generations in a year the elephants have 5 generations in a year. Since fruit flies have more generations in a year they would evolve faster.	3
643	fruit flies would evolve faster because evolution takes place over about 1,000 generations. It would take about 28 years for fruit flies to evolve and elephants would evolve over about 5,000 generation, so the fruit flies would evolve faster.	3
644	Fruit flies would evolve faster because they produce more than the elephant	3
645	Fruit flies would evolve faster because they reproduce faster because elephants reproduce every 5 years.	3
646	Fruit flies would evolve faster because they reproduce quicker, so they can change quicker.	3
647	Fruit flies would evolve faster because they reproduce so much that there generations will go faster. They would be able to change more because they reproduce so much so there time goes by faster.	3
648	Fruit flies would evolve faster than Elephants because it takes many generations of a species to evolve, and since the Fruit Flies reproduce many more times than the Elephant, it would evolve faster.	3
649	Fruit flies would evolve faster, because there would be more and more generations which would each have new, and better traits.	3
650	Fruit flies would evolve more often because they have a generation faster so the evolve more often. Because they have a generation faster they change more often.	3
651	fruit flies would have had more generations in a smaller amount of time, therefore causing for more changes	3
652	Fruit flies would reproduce faster because they reproduce 36 times a year and they evolve over 1000 generations.	3
653	Fruit flies, because it takes 1000 generations to evolve, and fruit flies produce much faster than elephants , so their evolution time is shorter.	3
654	Fruit flies, they reproduce by the thousands and that means more generations which leads to evolution.	3
655	Fruit fly's have more babies then elephants.	3
656	fruit flyaEU(tm)s because they reproduce more them elephants do .	3
657	Fruit flyies because they reproduce way more times a year then elephants so they have a bigger chance of reproducing.	3
658	Fruit flys because they will reproduce so much they notice the bad things and fix them.	3
659	Fruit flys can produce more generations in an equal amount of time then a Elephants.	3
660	fruit flys die very quickly so they will evole	3
661	Fruit flys will defiantly evolve faster because the reproduction rate is much higher with the flys rather than the elephants. By the time an elefant has 5 generations the fruit fly will have thousands if not millions.	3
662	Fruit flys will evolve faster because they reproduce more times a year.	3
663	Fruit will evolve faster than elephants because they reproduce faster. I think that the faster a species reproduces, the faster it evolves or develops more traits.	3
664	fruitflies because they evolve wayyy faster than elaphants and each time they reproduce, they might change a little by gaining a diseiese or something. thats why there must be a lot of different types of fruitflies. Species i mean.	3
665	fruitflies because they reproduce wayyyy more than elephants and they'll probably change some of their features as well in the many years fruitflies have lived and reproduce.	3
666	frult flis reprodce more thin elephants because they ned more of there spices.	3
667	Fuit flies will evolve faster because they reproduce faster and can adapt to they're edviorment alot faster than the elephants who only reproduce i time every 5 years.	3
668	having many children increases the population of successfully evolved organisms that managed to survive for longer; therefore, evolution would move more quickly.	3
669	I believe fruit flies will evolve faster because they reproduce so much faster than elephants so that means when they gain traits to help them survive better it will go to the next generation so much faster.	3
670	I believe that every generation, the species is slowly changing. So the faster you reproduce, the faster change will come to the species which is basically what evolution is all about. So I think that fruit flies will evolve faster.	3
671	I believe that fruit flies will evolve faster because they are constantly reproducing, which is making more generations to keep going by, which is causing more changes in that time.	3
672	I believe that fruit flies will evolve faster since they have short life spans and they reproduce more frequently.	3
673	I believe that slower reproduction yields the rate of evolution. If their is more chance for variance in the genetic makeup the species will evolve much quicker.	3
674	I believe that the fruit flies evolve faster because organisms change when they are born not during their lifetime. Genetic traits are not passed down so the fruit fly has much more opportunites to evolve.	3
675	I believe the fruit flies will evolve faster because they repreduce more and that gives them a better change to evolve because the many babies will be able to change a lot.	3
676	I believe the fruit flies will evolve faster than the elephants because they have gone through more natural selection than the elephant.	3
677	I believe the fruit fly because if it reproduces 36 times every year, then it would have much more than the elephant, who would only be at 10 in year two.	3
678	I chose fruit flies because reproducing once every 5 years is very slow and that means fruit flies would of already evolved by then.	3
679	I chose fruit flies because they just keep reproducing and I think that every fruit fly might be a little different.	3
680	I chose fruit flies because they reproduce faster than elephants.	3
681	I chose fruit flies because they reproduce more then the Elephants and would evolve much faster because they reproduce 36 times a year.	3
682	I chose fruit flies because when offspring if born, it changes a little every time. So over time they fruit fly will change or evolve into something different.	3
683	I chose it because they can reproduce really fast so it is more likely to evolve faster	3
684	I chose the fruit flies beause they reproduce so much that they might have had some affect because the fruit flies change and work so much but the elephant just has a normal daily life for 5 years.	3
685	I picked that because it reproduces slower and will evolve faster because of that.	3
686	I picked the the fruit flies because they reproduce 36 times a year which is really fast compared to the elephants only reproduce once every five years.	3
687	I think elephants will evolve faster because elephants have a longer time to adapt. Even though fruit flies reproduce faster, elephants live way longer.	3
688	I think elephants will evolve faster because they will slowly decrease their population. Also,tey don't reproduce as much as the fruit flies.	3
689	I think fruit flies will evolve faster because they are having more offsprings.	3
690	I think fruit flies because it doesn't take that long to reproduce.	3
691	I think fruit flies because it seems like there would be a much lager chance of the fruit fly evolving faster if it reroduces faster since there are more chances of change.	3
692	I think fruit flies because it takes many generations to evolve and fruit flies reproduce much more so fruit flies would evolve faster.	3
693	I think fruit flies because the are smaller animals and they can produce faster than an elephant would.	3
694	I think fruit flies because the more you have reproducing each year, the more every year. In year 4, the elephants will have 20, while the flies have 144. That is a lot more than 20.	3
695	I think fruit flies because their are more of them. Because they reproduce about 36 time a year unlike elephants.	3
696	I think fruit flies because they are 36 tomes one year.	3
697	I think fruit flies because they have more babies. The more babies you have, the more variation there is.	3
698	I think fruit flies because they reproduce more often.	3
699	I think fruit flies because they reproduce way more than elephants do and they can have more fruit flies.	3
700	I think fruit flies because they're are more of them and there smaller.	3
701	I think fruit flies evolve fast because they are reproducing much more than the elephant and as the grow the will get new traits and evolve faster.	3
702	I think fruit flies evolve faster because they can inherit traits faster than elephants.	3
703	I think fruit flies evolve faster because they produce a greater amount of offspring then elephants.	3
704	I think fruit flies evolve faster because they reproduce more offspring than elephants do.	3
705	I think fruit flies evolve faster because they reproduce way faster than the elephants.	3
706	I think fruit flies reproduce faster because they produce 36 times a year and elephants only reproduce 5 times a year.	3
707	I think fruit flies will be faster since the fruit flies will be reproducing faster, but the elephant has less time for them to make different generations.	3
708	I think fruit flies will because they reproduce faster.	3
709	I think fruit flies will evolve fast because it produces more than the elephants.	3
710	I think fruit flies will evolve faster because evolution takes many generations. The faster the reproduction rate, the faster they will evolve.	3
711	I think fruit flies will evolve faster because if a fruit fly changes very slightly, and all their offspring change the same amount, it will take less time for the change to develop into a large change. But if an elephant changed very slightly in it's lifetime, it would have to wait a long time before it had enough offspring to develop the change into a big difference.	3
712	I think fruit flies will evolve faster because in order to evolve, you have to reproduce. So if the flies reproduce faster, they can evolve faster.	3
713	I think fruit flies will evolve faster because it has a faster rate of reproduction than the elephants.	3
714	I think fruit flies will evolve faster because it reproduces more and it could change.	3
715	I think fruit flies will evolve faster because it reproduces more times a year that elephants.	3
716	I think fruit flies will evolve faster because of its rate of reproduction. Evolution will show the most after about 1000 generations and, based on the rate of reproduction, the fruit flies will reach 1000 generations faster.	3
717	I think fruit flies will evolve faster because since they reproduce more they adapt faster.	3
718	I think fruit flies will evolve faster because the faster a species reproduces, the faster it evolves. It takes one thousand generations for species to evolve, so it would take fruit flies only a few decades to evolve, while it would take elephants about 5 millenia to evolve.	3
719	I think fruit flies will evolve faster because the more you produce offspring, the more chances you have to evolve.	3
720	I think fruit flies will evolve faster because their is more and more populations being ade which makes it easier for the bugs to evolve, pass on their evolved DNA, then that bug will evolve a little and pass on their DNA very fast because of so many offspring.	3
721	I think fruit flies will evolve faster because their reproduction rate is faster. Evolution happens in 1000 generations and for fruit flies it only takes them around 28 years to achieve that while it takes an elephant 5000 years.	3
722	I think fruit flies will evolve faster because there is more generations that can change were elephants only have one every 5 years to change.	3
723	i think fruit flies will evolve faster because there is more of them producing and they will change over a period of time a lot faster because there is more of them	3
724	I think fruit flies will evolve faster because there is more of them, making it easier to evolve.	3
725	I think fruit flies will evolve faster because they are constantly reproducing and getting new mixes of genes each time.	3
726	I think fruit flies will evolve faster because they are smaller and live a shorter life than elephants.	3
727	I think Fruit Flies will evolve faster because they produce more and there is more of them.	3
728	I think fruit flies will evolve faster because they produce more than the elephant does (Fruit Flies: 36 times a year,While the elephant only reproduces 5 times a year) and they evolve faster because they have more of the insect then the elephant does to have more elephants.	3
729	I think fruit flies will evolve faster because they produce more which means more offspring, more offspring means more fruit flies that will live.	3
730	I think fruit flies will evolve faster because they produce more.	3
731	I think fruit flies will evolve faster because they reproduce 36 times a year and will have more genetic variation faster then an elephant that reproduces once every five years.	3
732	I think fruit flies will evolve faster because they reproduce about 36 times a year.	3
733	I think fruit flies will evolve faster because they reproduce faster than the elephants so they can change faster.	3
734	I think fruit flies will evolve faster because they reproduce faster, so they will evolve faster.	3
735	I think fruit flies will evolve faster because they reproduce faster. The generations will come faster and change faster than elephants.	3
736	I think fruit flies will evolve faster because they reproduce more, so they have more of a chance of having something happen.	3
737	I think fruit flies will evolve faster because they reproduce way more offspring than an elephant does and there would be more generations. The fruit flies might change a little bit every generation so they would probably evolve alot faster than an elephant would.	3
738	I think fruit flies will evolve faster because they would have more variation.	3
739	I think fruit flies will evolve faster because with a higher birthrate that means there is a higher chance they can change.	3
740	I think fruit flies will evolve faster since it has more chances of dieing and they have more babies.	3
741	I think Fruit Flies will evolve faster than elephants because, the more you reproduce, the more changes will be found in the species.	3
742	I think fruit flies will evolve faster that elephants because evolution occcurs in generations, when a genetic difference happens had is passed onto its offspring.	3
743	I think fruit flies will evolve faster, since they produce more offspring and the traits will change more and evolve more.	3
744	I think fruit flies will evolve quicker because their life time is shorter.	3
745	I think fruit flies will more likely evolve faster because they reproduce more so then changes are more likely to occur within these times.	3
746	I think fruit flies will produce faster because they have more babies at a faster rate, so it gives them a higher change of evolving faster.	3
747	I think fruit flies will reproduce faster because they are making more offspring and then the offspring would all evolve faster than the elephants.	3
748	I think fruit flies would evolve faster because if they reproduce 36 times a year while elephants only reproduce about once every 5 years, the fruit flies would have more chances of evolving because they would keep reproducing and reproducing so they might have selective pressure which could make them faster other other circumstances in which they would need to evolve. If elephants only reproduce once every 5 years then it would take them a long time to evolve because they would not have many offspring.	3
749	I think fruit flies would evolve faster because the fruit flies would change in days and become different. But for elephants, they have a slower reproductive rate than fruit flies and it would take the elephant's offspring a longer time to evolve and change.	3
750	I think fruit flies would evolve faster because they are giving birth more which means each generation there is a very small change and if they made more babies a year they would evolve faster than elephants.	3
751	I think fruit flies would evolve faster because they have more chances to adapt or change in five years that an elephant would have.	3
752	I think fruit flies would evolve faster because they have more generations and they could evolve in a year or two but for elephants they only reproduce once in five years so they have to wait longer to evolve.	3
753	I think fruit flies would evolve faster because they would have more time to adapt than the elephant, if the world was slowly warming than the fruit flies would have a better chance of adapting quicker.	3
754	I think fruit flies would evolve faster if they reproduce more often than elephants.	3
755	I think fruit flies would go=row faster because they produce faster and in bigger numbers which would help alot	3
756	i think fruit flieswill evolve faster cause fruit flies reproduce faster	3
757	I think fruit flyes will evolve faster beacuse they produce faster	3
758	i think that fruit flies can evolve faster because the can reproduce faster and that gives them an advantage to be able to evolve faster.	3
759	I think that fruit flies evolve faster because they have more generations and evalution only accurs over thousand of years.	3
760	I think that fruit flies evolve faster than elephants because they have more babies so then their babies can evolve faster because they are being born more often.	3
761	I think that fruit flies will evolve faster because evolution takes place over generations and fruit flies create many generations in a short period of time when elephants create generations much slower.	3
762	I think that fruit flies will evolve faster because it only takes 27 years for fruit flies to create 1,000 generations and evolve and for elephants it would take 5,000 years for them to evolve because of their slow rate of reproduction.	3
763	I think that fruit flies will evolve faster because of its high population rate and also because of its size it would take a shorter period of time to evolve.	3
764	I think that fruit flies will evolve faster because since they are always reproducing, they will pass by a lot of changes and evolve so they can survive better.	3
765	I think that fruit flies will evolve faster because they reproduce more, so they have more of a chance to evolve; the faster an organism reproduces, the faster it evolves.	3
766	I think that fruit flies will evolve faster because you need more offspring to reproduce since some will die and others will be successful and evolve for the better. Elephants on the other hand only reproduce once every five years so this does not give them enough offspring for evolution to occur.	3
767	I think that fruit flies will evolve faster due to the elephants lack of reproducing.	3
768	I think that fruit flies will evolve faster since they have short lifespans so their offspring will be able to fix it much more quickly than the first generation could. For example, it takes longer for adults to get used to new things such as technology whereas kids can easily adapt to new concepts.	3
769	I think that fruit flies will evolve faster, because since there would most likely be more fruit flies than elephants being born, evolution could effect them more, since there is a better chance of this to happen.	3
770	I think that fruit flies will evolve faster, because they are reproducing more and more, while their babies are also reproducing, adding to the fruit fly population.	3
771	I think that fruit flies will evolve quicker because they're are more and they are a smaller organism who will progress over time.	3
772	I think that fruit flies will reproduce faster because they reproduce faster. The reason that it would make a difference is because if the flies have faster generations then they will evolve faster	3
